Feature,Type,Is_Engineered,Missing_Count,Missing_Pct,Valid_Count,Mean_Overall,Std_Overall,Mean_Positive,Mean_Negative,Std_Positive,Std_Negative,Mean_Difference,Mean_Ratio,T_Statistic,T_Test_PValue,MannWhitney_Statistic,MannWhitney_PValue,Cohens_D,KS_Statistic,KS_PValue,PointBiserial_Correlation,PointBiserial_PValue,AUC_ROC,Is_Monotonic,Bin_Rate_Spread,Bin_Rate_Range,Nonlinearity_Score,Linear_AUC,Spline_AUC,Permutation_Importance,Is_Temporal,Temporal_Patterns,Has_Monotonic_Recency,Cyclical_Variation,Feature_Origin,Unique_Values,Unique_Ratio,Chi2_Statistic,Chi2_PValue,Degrees_Freedom,Cramers_V,Best_Category_Rate,Worst_Category_Rate,Rate_Spread,Best_Category,Worst_Category,Best_Category_Rate_30plus,Worst_Category_Rate_30plus,Categories_30plus,Information_Value,Max_WoE,Min_WoE,WoE_Range,IV_Power,Encoded_AUC,Skip_Reason,AUC_Normalized,KS_Normalized,CohensD_Normalized,Correlation_Normalized,BinSpread_Normalized,Nonlinearity_Normalized,PermImportance_Normalized,Predictiveness_Score,CramersV_Normalized,IV_Normalized,RateSpread_Normalized,EncodedAUC_Normalized,Predictiveness_Rank,Predictiveness_Percentile
Incident_Within_180_Days,Numeric,False,0,0.0,1840739,0.05662128090946082,0.23111759014851008,0.4897466827503016,0.03683579064332402,0.4998979667559039,0.18835852867804564,0.45291089210697755,13.295399426564694,256.0889113499112,0.0,102832016505.5,0.0,2.138710799789685,0.45291089210697755,0.0,0.4005413460726499,0.0,0.7264554460534889,False,0.0,N/A,0.0,0.7264554460534889,0.7264554460534889,0.22624834477057476,True,,False,0.0,Temporal,,,,,,,,,,,,,,,,,,,,,,0.45291089210697777,0.45291089210697755,1.0,0.4005413460726499,0.0,0.0,0.22624834477057476,0.4525372658639259,,,,,32.0,0.8268156424581006
In_Optimal_Window,Numeric,False,0,0.0,1840739,0.05378709311857901,0.22559713956774446,0.45722706527551515,0.03535765534338526,0.49817021417572327,0.18468218898335204,0.4218694099321299,12.9314834798914,239.38911643395224,0.0,100635007573.5,0.0,2.023664836245122,0.42186940993212985,0.0,0.38221879151221366,0.0,0.710934704966065,False,0.0,N/A,0.0,0.710934704966065,0.710934704966065,0.21050274021208792,True,,False,0.0,Temporal,,,,,,,,,,,,,,,,,,,,,,0.42186940993213007,0.42186940993212985,1.0,0.38221879151221366,0.0,0.0,0.21050274021208792,0.43656252323489075,,,,,33.0,0.8212290502793296
Incident_to_Inquiry_Within_3d,Numeric,False,0,0.0,1840739,0.032696650638683704,0.17784149363325144,0.4078320669543482,0.015560186011000236,0.4914347112936375,0.1237662123688985,0.392271880943348,26.209956909670836,226.02487254475733,0.0,98540196662.5,0.0,2.471124105638591,0.39227188094334786,0.0,0.4508391984447242,0.0,0.6961359404716739,False,0.0,N/A,0.0,0.6961359404716739,0.6961359404716739,0.19578965673040105,True,,False,0.0,Temporal,,,,,,,,,,,,,,,,,,,,,,0.39227188094334786,0.39227188094334786,1.0,0.4508391984447242,0.0,0.0,0.19578965673040105,0.43428948660644057,,,,,34.0,0.8156424581005587
Incident_to_Call_Within_3d,Numeric,False,0,0.0,1840739,0.031765502876833704,0.17537523317897258,0.3983932946165421,0.015017672862867447,0.4895702789406159,0.1216229861815844,0.3833756217536747,26.52827991204987,221.7487850299641,0.0,97910550153.0,0.0,2.4435061473919615,0.38337562175367457,0.0,0.446810962647195,0.0,0.6916878108768373,False,0.0,N/A,0.0,0.6916878108768373,0.6916878108768373,0.19145457414552858,True,,False,0.0,Temporal,,,,,,,,,,,,,,,,,,,,,,0.38337562175367457,0.38337562175367457,1.0,0.446810962647195,0.0,0.0,0.19145457414552858,0.42992129813269464,,,,,35.0,0.8100558659217877
Has_Sms_Channel,Numeric,True,0,0.0,1840739,0.37991263291536714,0.48536496808837326,0.9993906457911035,0.3516144168750561,0.024677732262678935,0.47747444772660247,0.6477762289160474,2.842291354973982,1749.5684254619355,0.0,116623912237.0,0.0,1.387227914437124,0.6477762289160474,0.0,0.27278731295171177,0.0,0.8238881144580237,False,0.0,N/A,0.0,0.8238881144580237,0.8238881144580237,0.3232863683152224,False,,,,Engineered,,,,,,,,,,,,,,,,,,,,,,0.6477762289160474,0.6477762289160474,0.693613957218562,0.27278731295171177,0.0,0.0,0.3232863683152224,0.420174825893441,,,,,36.0,0.8044692737430168
Channel_Diversity_Index,Numeric,True,0,0.0,1840739,1.7615099153111875,0.9702774559220277,2.9993906457911033,1.7049626035177574,0.02467773226267893,0.9545782747118797,1.2944280422733458,1.7592119745092958,1786.1132718573162,0.0,116651801028.0,0.0,1.386625492315803,0.6477762289160474,0.0,0.2726776611951577,0.0,0.8240851344601036,False,0.0,N/A,0.0,0.8240851344601036,0.8240851344601036,0.32279454513270533,False,,,,Engineered,,,,,,,,,,,,,,,,,,,,,,0.6481702689202071,0.6477762289160474,0.6933127461579015,0.2726776611951577,0.0,0.0,0.32279454513270533,0.42011823099431317,,,,,37.0,0.7988826815642458
Has_Web_Channel,Numeric,True,0,0.0,1840739,0.38159728239582036,0.4857786786829558,1.0,0.3533481866427014,0.0,0.4780098068457941,0.6466518133572986,2.830069629621401,1794.85861887585,0.0,116544329986.0,0.0,1.3833533803659517,0.6466518133572986,0.0,0.27208189190981646,0.0,0.8233259066786494,False,0.0,N/A,0.0,0.8233259066786494,0.8233259066786494,0.32249966340506286,False,,,,Engineered,,,,,,,,,,,,,,,,,,,,,,0.6466518133572987,0.6466518133572986,0.6916766901829758,0.27208189190981646,0.0,0.0,0.32249966340506286,0.4192668714997328,,,,,38.0,0.7932960893854749
Quick_Response,Numeric,True,0,0.0,1840739,0.37220105620623023,0.48339172200964653,0.978560680486986,0.344502097906865,0.1448445235213427,0.47520577724601615,0.634058582580121,2.8405070913282673,1016.3679841024458,0.0,115653024592.0,0.0,1.3615309165643075,0.634058582580121,0.0,0.2681005869989113,0.0,0.8170292912900605,False,0.0,N/A,0.0,0.8170292912900605,0.8170292912900605,0.31676324575289794,False,,,,Engineered,,,,,,,,,,,,,,,,,,,,,,0.634058582580121,0.634058582580121,0.6807654582821537,0.2681005869989113,0.0,0.0,0.31676324575289794,0.4117648975581368,,,,,39.0,0.7877094972067039
Walker Geo Group,Categorical,False,448808,24.381946598621532,1391931,,,,,,,,,,,,,,,,,,,,,,,,,0.11749482117649712,False,,,,Original,34.0,2.4426498152566472e-05,34896.30169192482,0.0,33.0,0.1583364296836852,0.3103448275862069,0.0,0.3103448275862069,LDN OOS,BC CA,0.3103448275862069,0.0,28.0,0.5274096352089693,4.876770131491016,-5.502889486311224,10.37965961780224,Suspicious,0.6183719713452583,,,,,,,,0.11749482117649712,0.40094281256366415,0.1583364296836852,0.5274096352089693,1.0,0.23674394269051668,40.0,0.7821229050279329
Incident_Recency_Detailed_Old,Numeric,False,0,0.0,1840739,0.05105395170092012,0.22010786454876538,0.3860942882369766,0.03574906011727373,0.48685566286737625,0.185663901715497,0.35034522811970287,10.800121149176919,203.3861132449678,0.0,95572772935.0,0.0,1.6832681350231495,0.3503452281197028,0.0,0.32533308727244303,0.0,0.6751726140598515,False,0.0,N/A,0.0,0.6751726140598515,0.6751726140598515,0.17489771026068324,True,,False,0.0,Temporal,,,,,,,,,,,,,,,,,,,,,,0.35034522811970303,0.3503452281197028,0.8416340675115748,0.32533308727244303,0.0,0.0,0.17489771026068324,0.37390055959860113,,,,,41.0,0.776536312849162
Incident_to_Inquiry_Within_1d,Numeric,False,0,0.0,1840739,0.021579919803948307,0.14530739257080502,0.27632348003432283,0.009943044640594981,0.4471815081364479,0.0992178718584599,0.26638043539372785,27.790602588681736,168.73060133192487,0.0,89630034809.5,0.0,1.9772704349414432,0.2663804353937278,0.0,0.37469871433235297,0.0,0.6331902176968639,False,0.0,N/A,0.0,0.6331902176968639,0.6331902176968639,0.1329435420753291,True,,False,0.0,Temporal,,,,,,,,,,,,,,,,,,,,,,0.2663804353937278,0.2663804353937278,0.9886352174707216,0.37469871433235297,0.0,0.0,0.1329435420753291,0.3676747734695653,,,,,42.0,0.770949720670391
Incident_to_Call_Within_1d,Numeric,False,0,0.0,1840739,0.02089541211437363,0.14303427904315855,0.2690609727282902,0.009559024862440252,0.4434744766351114,0.09730187708607167,0.25950194786584996,28.147294847254457,165.75175204372863,0.0,89143199211.5,0.0,1.953545308207886,0.25950194786585,0.0,0.37082420906225994,0.0,0.629750973932925,False,0.0,N/A,0.0,0.629750973932925,0.629750973932925,0.12954975555142045,True,,False,0.0,Temporal,,,,,,,,,,,,,,,,,,,,,,0.25950194786585,0.25950194786585,0.976772654103943,0.37082420906225994,0.0,0.0,0.12954975555142045,0.36239767456069105,,,,,43.0,0.7653631284916201
Web Lead Attempt Count,Numeric,False,1466417,79.66458036690699,374322,4.431497480778581,4.358842851453006,2.0942111777587358,4.726986849628359,2.408918352381605,4.45981450826823,-2.632775671869623,0.4430330017721659,-187.11356143303078,0.0,3909170940.0,0.0,-0.6152938215598723,0.41583256011551,0.0,-0.19065853672619415,0.0,0.7199936409747935,False,0.17425205964378362,0.034-0.209,0.009743301252182146,0.7199936409747935,0.7297369422269756,0.2189004058082421,False,,,,Original,,,,,,,,,,,,,,,,,,,,,,0.4399872819495869,0.41583256011551,0.30764691077993617,0.19065853672619415,1.0,0.009743301252182146,0.2189004058082421,0.35892754852961795,,,,,44.0,0.7597765363128491
